classe_tematica,entidade_key,docs,exemplo
Direitos humanos / Corte IDH,edson fachin,48,Edson Fachin
Direitos humanos / Corte IDH,brasilia,23,Brasília
Direitos humanos / Corte IDH,corte interamericana de direitos humanos,15,Corte Interamericana de Direitos Humanos
Direitos humanos / Corte IDH,joao paulo schoucair,8,João Paulo Schoucair
Direitos humanos / Corte IDH,programa das nacoes unidas para o desenvolvimento,8,Programa das Nações Unidas para o Desenvolvimento
Direitos humanos / Corte IDH,rio de janeiro,7,Rio de Janeiro
Direitos humanos / Corte IDH,superior tribunal de justica,7,Superior Tribunal de Justiça
Direitos humanos / Corte IDH,luiz edson fachin,6,Luiz Edson Fachin
IA / Conecta / Justiça 4.0,programa das nacoes unidas para o desenvolvimento,17,Programa das Nações Unidas para o Desenvolvimento
IA / Conecta / Justiça 4.0,edson fachin,9,Edson Fachin
IA / Conecta / Justiça 4.0,rodrigo badaro,9,Rodrigo Badaró
IA / Conecta / Justiça 4.0,brasilia,7,Brasília
IA / Conecta / Justiça 4.0,corregedoria nacional de justica,6,Corregedoria Nacional de Justiça
IA / Conecta / Justiça 4.0,minas gerais,5,Minas Gerais
IA / Conecta / Justiça 4.0,rio grande do sul,5,Rio Grande do Sul
IA / Conecta / Justiça 4.0,comite nacional de inteligencia artificial do judiciario,4,Comitê Nacional de Inteligência Artificial do Judiciário
Infância e juventude,fabio esteves,7,Fabio Esteves
Infância e juventude,edson fachin,6,Edson Fachin
Infância e juventude,maceio,5,Maceió
Infância e juventude,conselho nacional do ministerio publico,4,Conselho Nacional do Ministério Público
Infância e juventude,brasilia,3,Brasília
Infância e juventude,breves,3,Breves
Infância e juventude,claudia catafesta,3,Claudia Catafesta
Infância e juventude,distrito federal,3,Distrito Federal
Justiça itinerante / cidadania,amazonas,12,Amazonas
Justiça itinerante / cidadania,brasilia,12,Brasília
Justiça itinerante / cidadania,amazonia legal,10,Amazônia Legal
Justiça itinerante / cidadania,breves,10,Breves
Justiça itinerante / cidadania,melgaco,10,Melgaço
Justiça itinerante / cidadania,portel,10,Portel
Justiça itinerante / cidadania,macapa,9,Macapá
Justiça itinerante / cidadania,amapa,8,Amapá
Precatórios / corregedoria,edson fachin,17,Edson Fachin
Precatórios / corregedoria,mauro campbell marques,7,Mauro Campbell Marques
Precatórios / corregedoria,ulisses rabaneda,5,Ulisses Rabaneda
Precatórios / corregedoria,conselho nacional do ministerio publico,4,Conselho Nacional do Ministério Público
Precatórios / corregedoria,lizandro garcia gomes filho,4,Lizandro Garcia Gomes Filho
Precatórios / corregedoria,forum nacional de precatorios,3,Fórum Nacional de Precatórios
Precatórios / corregedoria,andrea cunha esmeraldo,2,Andréa Cunha Esmeraldo
Precatórios / corregedoria,arnoldo camanho de assis,2,Arnoldo Camanho de Assis
Processos disciplinares / sessões,mauro campbell marques,16,Mauro Campbell Marques
Processos disciplinares / sessões,ulisses rabaneda,6,Ulisses Rabaneda
Processos disciplinares / sessões,edson fachin,5,Edson Fachin
Processos disciplinares / sessões,fabio esteves,5,Fabio Esteves
Processos disciplinares / sessões,mauro campbell,5,Mauro Campbell
Processos disciplinares / sessões,magid nauef lauar,4,Magid Nauef Láuar
Processos disciplinares / sessões,marcello terto,4,Marcello Terto
Processos disciplinares / sessões,minas gerais,4,Minas Gerais
Saúde / judicialização / SUS,edson fachin,12,Edson Fachin
Saúde / judicialização / SUS,forum nacional do judiciario para a saude,11,Fórum Nacional do Judiciário para a Saúde
Saúde / judicialização / SUS,brasilia,7,Brasília
Saúde / judicialização / SUS,daiane nogueira de lira,6,Daiane Nogueira de Lira
Saúde / judicialização / SUS,amazonas,4,Amazonas
Saúde / judicialização / SUS,daiane lira,4,Daiane Lira
Saúde / judicialização / SUS,distrito federal,4,Distrito Federal
Saúde / judicialização / SUS,maranhao,4,Maranhão
Sistema prisional / Pena Justa,edson fachin,14,Edson Fachin
Sistema prisional / Pena Justa,pernambuco,8,Pernambuco
Sistema prisional / Pena Justa,programa das nacoes unidas para o desenvolvimento,8,Programa das Nações Unidas para o Desenvolvimento
Sistema prisional / Pena Justa,rio de janeiro,8,Rio de Janeiro
Sistema prisional / Pena Justa,ceara,7,Ceará
Sistema prisional / Pena Justa,luis lanfredi,6,Luís Lanfredi
Sistema prisional / Pena Justa,paraiba,6,Paraíba
Sistema prisional / Pena Justa,acre,5,Acre
Sustentabilidade ambiental,guilherme feliciano,5,Guilherme Feliciano
Sustentabilidade ambiental,brasilia,3,Brasília
Sustentabilidade ambiental,ilan presser,3,Ilan Presser
Sustentabilidade ambiental,maranhao,3,Maranhão
Sustentabilidade ambiental,parana,3,Paraná
Sustentabilidade ambiental,paraiba,2,Paraíba
Sustentabilidade ambiental,porto alegre,2,Porto Alegre
Sustentabilidade ambiental,rio grande do norte,2,Rio Grande do Norte
Violência doméstica / mulheres,edson fachin,13,Edson Fachin
Violência doméstica / mulheres,brasilia,7,Brasília
Violência doméstica / mulheres,jaceguara dantas,7,Jaceguara Dantas
Violência doméstica / mulheres,belo horizonte,5,Belo Horizonte
Violência doméstica / mulheres,suzana massako,5,Suzana Massako
Violência doméstica / mulheres,camila pullin,4,Camila Pullin
Violência doméstica / mulheres,escola nacional de formacao e aperfeicoamento de magistrados do trabalho,4,Escola Nacional de Formação e Aperfeiçoamento de Magistrados do Trabalho
Violência doméstica / mulheres,programa das nacoes unidas para o desenvolvimento,4,Programa das Nações Unidas para o Desenvolvimento
