entidade_key,tipo,docs,ocorrencias,exemplo
conselho nacional de justica,ORG,409,428,Conselho Nacional de Justiça
edson fachin,PER,129,137,Edson Fachin
brasilia,LOC,68,71,Brasília
programa das nacoes unidas para o desenvolvimento,ORG,40,42,Programa das Nações Unidas para o Desenvolvimento
mauro campbell marques,PER,39,41,Mauro Campbell Marques
maranhao,LOC,27,30,Maranhão
rio de janeiro,LOC,27,35,Rio de Janeiro
amazonas,LOC,22,27,Amazonas
fabio esteves,PER,22,24,Fábio Esteves
joao paulo schoucair,PER,20,20,João Paulo Schoucair
sao paulo,LOC,20,26,São Paulo
parana,LOC,19,24,Paraná
distrito federal,LOC,18,19,Distrito Federal
jaceguara dantas,PER,17,20,Jaceguara Dantas
corte interamericana de direitos humanos,ORG,17,19,Corte Interamericana de Direitos Humanos
minas gerais,LOC,17,17,Minas Gerais
ulisses rabaneda,PER,17,17,Ulisses Rabaneda
rio grande do sul,LOC,17,19,Rio Grande do Sul
conselho nacional do ministerio publico,ORG,16,16,Conselho Nacional do Ministério Público
tocantins,LOC,16,18,Tocantins
mato grosso,LOC,16,21,Mato Grosso
mauro campbell,PER,15,15,Mauro Campbell
paraiba,LOC,15,16,Paraíba
portel,LOC,14,23,Portel
breves,LOC,14,22,Breves
joao pessoa,LOC,14,15,João Pessoa
rodrigo badaro,PER,14,14,Rodrigo Badaró
macapa,LOC,13,20,Macapá
melgaco,LOC,13,17,Melgaço
corregedoria nacional de justica,ORG,13,14,Corregedoria Nacional de Justiça
amapa,LOC,13,15,Amapá
amazonia legal,LOC,13,14,Amazônia Legal
forum nacional do judiciario para a saude,ORG,12,12,Fórum Nacional do Judiciário para a Saúde
marajo,LOC,12,16,Marajó
pernambuco,LOC,11,14,Pernambuco
luiz edson fachin,PER,11,11,Luiz Edson Fachin
acre,LOC,11,12,Acre
daiane nogueira de lira,PER,11,12,Daiane Nogueira de Lira
tribunal de justica,ORG,11,11,Tribunal de Justiça
guilherme feliciano,PER,11,16,Guilherme Feliciano
rondonia,LOC,11,11,Rondônia
ceara,LOC,10,13,Ceará
luis lanfredi,PER,10,11,Luís Lanfredi
clara mota,PER,10,12,Clara Mota
rio grande do norte,LOC,10,12,Rio Grande do Norte
roraima,LOC,9,11,Roraima
bahia,LOC,9,12,Bahia
santa catarina,LOC,9,11,Santa Catarina
fundacao getulio vargas,ORG,9,9,Fundação Getulio Vargas
superior tribunal de justica,ORG,9,10,Superior Tribunal de Justiça
manaus,LOC,9,10,Manaus
maceio,LOC,8,9,Maceió
espirito santo,LOC,8,8,Espírito Santo
alagoas,LOC,8,9,Alagoas
escola nacional do judiciario,ORG,8,8,Escola Nacional do Judiciário
daiane lira,PER,8,9,Daiane Lira
marcello terto,PER,8,10,Marcello Terto
tribunal superior do trabalho,ORG,8,8,Tribunal Superior do Trabalho
agencia cnj de noticias,ORG,8,8,Agência CNJ de Notícias
escola nacional de formacao e aperfeicoamento de magistrados,ORG,7,7,Escola Nacional de Formação e Aperfeiçoamento de Magistrados
porto alegre,LOC,7,7,Porto Alegre
florianopolis,LOC,7,8,Florianópolis
fortaleza,LOC,7,8,Fortaleza
supremo tribunal federal,LOC,7,7,Supremo Tribunal Federal
belo horizonte,LOC,7,7,Belo Horizonte
belem,LOC,7,10,Belém
ordem dos advogados do brasil,ORG,7,7,Ordem dos Advogados do Brasil
arquipelago do marajo,LOC,7,7,Arquipélago do Marajó
supremo tribunal federal,ORG,7,7,Supremo Tribunal Federal
instituto nacional do seguro social,ORG,6,6,Instituto Nacional do Seguro Social
organizacao internacional do trabalho,ORG,6,6,Organização Internacional do Trabalho
andrea cunha esmeraldo,PER,6,6,Andréa Cunha Esmeraldo
fabio francisco esteves,PER,6,6,Fabio Francisco Esteves
piaui,LOC,6,7,Piauí
camila pullin,PER,6,6,Camila Pullin
porto velho,LOC,6,10,Porto Velho
sistema interamericano de direitos humanos,ORG,6,6,Sistema Interamericano de Direitos Humanos
superior tribunal militar,ORG,6,6,Superior Tribunal Militar
alexandre teixeira,PER,6,9,Alexandre Teixeira
amazonia,LOC,6,6,Amazônia
mato grosso do sul,LOC,6,10,Mato Grosso do Sul
suzana massako,PER,6,6,Suzana Massako
leandro crispim,PER,6,7,Leandro Crispim
cuiaba,LOC,6,7,Cuiabá
conselho superior da justica do trabalho,ORG,6,6,Conselho Superior da Justiça do Trabalho
escola nacional de formacao e aperfeicoamento de magistrados do trabalho,ORG,5,5,Escola Nacional de Formação e Aperfeiçoamento de Magistrados do Trabalho
defensoria publica da uniao,ORG,5,5,Defensoria Pública da União
costa rica,LOC,5,5,Costa Rica
ilan presser,PER,5,5,Ilan Presser
sao luis,LOC,5,7,São Luís
jaceguara dantas da silva,PER,5,5,Jaceguara Dantas da Silva
universidade,ORG,5,5,Universidade
fundacao nacional dos povos indigenas,ORG,5,5,Fundação Nacional dos Povos Indígenas
