per,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
2024-06-17,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-06-24,2,1,0,0,2,2,3,0,0,0,3,0,0,5,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
2024-07-01,3,1,0,1,1,0,0,2,0,0,1,1,0,2,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0
2024-07-08,0,1,2,2,0,1,1,1,0,0,1,0,0,1,2,0,1,1,1,2,1,0,0,0,0,0,0,0,1,0
2024-07-15,1,0,0,0,2,1,0,0,0,0,2,0,2,0,2,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0
2024-07-22,0,2,2,3,0,0,0,1,1,0,2,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0
2024-07-29,2,0,1,0,0,1,2,0,0,0,1,0,0,1,1,0,2,0,0,0,4,1,0,0,0,0,3,0,0,0
2024-08-05,0,2,5,0,2,2,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,2,0,0,1,0,0,0,0,0
2024-08-12,5,1,4,2,1,0,0,3,1,0,1,2,2,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0
2024-08-19,2,0,4,0,3,1,2,0,1,0,1,2,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0
2024-08-26,1,1,2,2,0,0,2,1,0,0,5,0,0,0,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,1
2024-09-02,2,0,2,0,1,0,0,0,1,1,1,1,0,2,2,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0
2024-09-09,0,0,2,2,3,0,0,0,3,0,1,0,1,1,1,1,9,2,0,1,0,0,0,2,1,0,0,0,0,0
2024-09-16,3,0,0,2,2,2,1,0,2,1,0,2,0,2,1,6,0,0,2,2,0,0,0,1,0,1,0,0,1,1
2024-09-23,1,2,1,2,7,0,0,0,0,0,2,0,0,1,1,2,1,0,1,1,2,1,0,0,2,0,0,0,2,2
2024-09-30,0,2,1,2,1,0,0,2,1,0,1,0,0,1,1,0,1,0,0,2,0,1,0,1,2,1,0,2,0,0
2024-10-07,2,2,2,0,3,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
2024-10-14,0,1,2,0,1,0,1,0,1,0,4,0,0,0,1,0,1,2,0,0,1,1,2,0,0,0,1,0,0,0
2024-10-21,5,0,0,1,2,0,1,1,0,1,0,1,0,0,3,0,0,0,2,1,1,1,0,2,2,1,0,0,0,0
2024-10-28,1,1,1,2,0,1,0,2,0,0,2,0,2,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
2024-11-04,1,4,0,5,0,1,1,0,1,0,3,0,0,0,3,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0
2024-11-11,0,1,0,7,1,0,2,1,0,0,4,1,0,0,2,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0
2024-11-18,2,2,1,0,2,0,4,0,0,1,3,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,1,0,0,0
2024-11-25,0,3,4,0,0,2,2,0,1,0,2,0,0,1,0,0,2,2,0,2,1,0,0,0,3,0,0,2,1,0
2024-12-02,0,2,1,2,0,0,0,0,1,1,1,0,1,0,1,1,0,2,0,1,0,1,1,1,0,0,0,0,0,1
2024-12-09,4,1,0,3,1,0,2,0,0,3,0,1,1,1,2,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0
2024-12-16,2,1,0,0,1,0,2,1,0,1,3,0,0,0,0,0,2,0,1,2,0,1,0,0,1,0,0,0,1,0
2024-12-23,1,1,1,1,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2025-01-06,0,0,0,2,0,0,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-13,0,0,0,1,0,1,2,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0
2025-01-20,0,1,2,0,2,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-27,1,0,1,0,0,1,1,3,0,0,0,1,0,2,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2025-02-03,0,1,0,3,2,1,0,1,0,0,1,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,2,1,0,0
2025-02-10,5,0,3,0,3,1,1,0,0,1,3,0,0,0,2,0,1,0,1,1,0,1,1,0,2,0,0,0,0,0
2025-02-17,4,1,6,2,3,1,3,1,0,0,2,2,0,0,1,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0
2025-02-24,1,0,1,1,0,0,1,2,0,0,1,0,0,1,3,1,1,0,0,0,0,0,1,1,0,1,0,0,2,0
2025-03-03,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
2025-03-10,1,0,4,0,0,3,0,1,1,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
2025-03-17,1,2,2,1,0,0,0,1,4,1,0,0,0,1,1,1,1,0,0,0,0,2,0,0,1,3,0,0,0,0
2025-03-24,4,1,1,2,0,1,2,0,0,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
2025-03-31,1,0,3,1,0,1,2,2,0,0,1,0,1,0,3,1,0,0,2,0,0,2,0,0,0,1,0,1,0,0
2025-04-07,2,0,3,1,0,1,2,0,0,1,1,0,0,0,0,1,1,1,0,0,0,3,0,0,0,1,0,0,1,0
2025-04-14,2,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0
2025-04-21,0,1,2,0,0,2,2,0,0,0,0,0,1,0,1,0,3,0,0,0,1,0,3,3,0,0,0,1,0,0
2025-04-28,0,1,0,0,1,1,0,0,1,0,1,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2025-05-05,0,0,0,1,0,1,1,0,0,0,3,1,1,1,6,0,4,0,0,0,0,1,0,1,0,2,0,0,0,1
2025-05-12,0,1,1,2,1,0,1,1,0,0,4,0,0,0,3,0,0,1,1,0,0,2,0,3,0,1,0,0,1,0
2025-05-19,4,0,0,0,3,2,2,0,0,0,3,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2,2
2025-05-26,2,1,0,1,1,1,2,0,1,0,1,0,1,0,3,1,1,1,1,0,0,0,0,2,0,0,1,0,1,0
2025-06-02,3,0,0,4,1,1,1,1,0,1,2,3,1,1,0,0,1,2,1,0,0,2,1,1,0,0,1,0,1,0
2025-06-09,3,0,1,3,1,1,0,0,1,0,3,1,0,0,2,1,4,3,0,0,0,0,0,0,2,0,0,0,0,2
2025-06-16,0,0,0,1,0,1,0,0,0,0,2,0,1,2,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0
