id,titulo,trecho,classe_dono,classe_gold,decisao
414883,Solo Seguro — Favela e Comunidades entrega títulos em Ponte Alta do Bom Jesus,"Ponte Alta do Bom Jesus abriu, nessa segunda-feira (25/5), a mobilização “Solo Seguro Favela e Comunidades” no Tocantins, iniciativa coordenada nacionalmente pelo Conselho Nacional de Justiça (CNJ) e executada no estado pelo Núcleo de Prevenção e Regularização Fundiária (Nupref) da Corregedoria-Geral da Justiça (CGJUS). A ação marcou o início de uma semana de entregas de títulos definitivos de pro",Regularização fundiária,Litigância / ações coletivas,
375887,Plenário estabelece diretrizes norteadoras a serem aplicadas em processos estruturais,"Os tribunais e os magistrados brasileiros passarão a ter parâmetros para a identificação e a condução de processos estruturais. A decisão foi tomada no julgamento do Ato Normativo 0002808-31.2025.2.00.0000. “Há uma novidade no cenário jurídico brasileiro, que são os processos estruturais, aqueles que já não se destinam apenas à produção de uma sentença encerrando a atuação do Poder Judiciário”, de",Litigância / ações coletivas,Institucional / Gestão,
358382,Fórum do Judiciário discute responsabilização da cadeia produtiva em casos de trabalho escravo,"O Fórum Nacional para Monitoramento e Solução das Demandas Atinentes à Exploração do Trabalho em Condições Análogas à de Escravo e ao Tráfico de Pessoas (Fontet) realiza, nesta quarta (29/1) e quinta-feira (30/1), em Brasília, a Reunião Técnica sobre Responsabilização da Cadeia Produtiva e Rastreabilidade para Integrantes do Sistema de Justiça Brasileiro. A capacitação para magistrados e magistrad",Trabalho escravo / tráfico,Institucional / Gestão,
391375,CNJ assina acordo para traduzir convenção da OIT para 10 línguas indígenas brasileiras,"Os direitos dos povos indígenas e de comunidades tradicionais no que diz respeito a sua organização e modo de vida, estabelecidos pela Convenção n. 169 da Organização Internacional do Trabalho (OIT), serão traduzidos para 10 línguas de povos indígenas do Brasil. Esse trabalho contará com o apoio do Conselho Nacional de Justiça (CNJ) e de outros órgãos, por meio de um Acordo de Cooperação Técnica (",Direitos humanos / Corte IDH,Equidade racial,
371549,Judiciário mineiro lança projeto voltado para o povo Tikmu’um-Maxakali,"A coordenadora adjunta do Cejusc Povos e Comunidades Tradicionais do Tribunal de Justiça de Minas Gerais, desembargadora Shirley Fenzi Bertão, representou o presidente do TJMG, desembargador Luiz Carlos Corrêa Junior, na quinta-feira (15/5), no lançamento do livro bilíngue (português/maxakali) com os Planos de Gestão Territorial e Ambiental das Terras Indígenas Tikmu’um-Maxakali (PGTAs). Os Planos",Direitos humanos / Corte IDH,Equidade racial,
395486,Justiça Eleitoral do Amapá promove ação de cidadania indígena na Aldeia Aramirã,"A Justiça Eleitoral do Amapá, por meio da Escola Judiciária Eleitoral (EJE-AP), promoveu na Aldeia Aramirã, terra indígena Wajãpi, mais uma importante ação voltada à cidadania indígena. A atividade, realizada no dia 4 de novembro, dá sequência ao projeto Cidadania Participativa, que anteriormente possibilitou à comunidade Wajãpi eleger um representante na Câmara Municipal de Pedra Branca do Amapar",Justiça Eleitoral,Justiça Itinerante / cidadania,
408179,Fachin defende pacto nacional e reforça papel do Judiciário contra o crime organizado,"Durante a abertura do Encontro Nacional sobre os Desafios do Poder Judiciário ante o Crime Organizado, realizado na sede do Conselho Nacional de Justiça (CNJ), nesta segunda (23/3), o presidente do CNJ e do Supremo Tribunal Federal (STF), Ministro Edson Fachin, afirmou que o combate ao crime organizado se tornou uma questão de Estado no Brasil e exige uma atuação coordenada e estratégica das insti",Institucional / Gestão,Sistema prisional,
372782,Prêmio Solo Seguro: inscrições terminam no sábado (31/5),"Termina no sábado (31/5) o período de inscrição para o Prêmio Solo Seguro, iniciativa da Corregedoria Nacional de Justiça (CNJ) que visa disseminar e reconhecer ações, projetos ou programas inovadores acerca do aperfeiçoamento da Regularização Fundiária Urbana (Reurb) e rural e estimular o desempenho dos tribunais na política da regularização fundiária e no monitoramento do cumprimento das decisõe",Regularização fundiária,Corregedoria / Inspeção,
389831,Justiça do Trabalho paulista transforma telefone histórico em ferramenta de difusão da memória,"A Coordenadoria de Gestão Documental e Memória do Tribunal Regional do Trabalho da 2ª Região (TRT-2) desenvolveu uma solução inovadora de museologia interativa, que alia a difusão da memória institucional à tecnologia moderna: o MemoFone. O projeto transforma um telefone de disco antigo em uma interface interativa capaz de reproduzir conteúdos de áudio personalizados conforme os números discados p",Inovação,IA / Justiça 4.0,
394285,Mutirão de conciliação ajuda regularização de contas de energia em atraso em Roraima,"A XX Semana Nacional da Conciliação começou com uma oportunidade especial para quem precisa renegociar dívidas de energia elétrica. O Tribunal de Justiça de Roraima (TJRR), por meio do Centro Judiciário de Solução de Conflitos e Cidadania (Cejusc), deu início, nesta segunda-feira (3/11), ao mutirão de atendimento voltado à negociação de débitos com a Roraima Energia. Segundo o servidor e instrutor",Conciliação e mediação,Justiça Itinerante / cidadania,
370521,CNJ leva o tema escravidão para o 5.º Encontro Nacional de Memória do Poder Judiciário,"Representantes do Conselho Nacional de Justiça (CNJ) expuseram, nesta quinta-feira (8), no 5.º Encontro Nacional de Memória do Poder Judiciário (Enam), em Goiânia (GO), as ações do órgão sobre gestão documental e memória, incluindo processos que tratam da escravidão. O conselheiro Alexandre Teixeira presidiu a mesa sobre o Grupo de Trabalho (GT) Memória da Escravidão e da Liberdade, do CNJ. Segund",Trabalho escravo / tráfico,Equidade racial,
394579,Está aberta consulta pública sobre Política de Acessibilidade e Inclusão na Justiça Eleitoral,"O Tribunal Superior Eleitoral (TSE) publicou, no Diário Oficial da União (DOU) desta quarta-feira (5), o Aviso de Chamamento Público n. 13/2025 para receber contribuições da sociedade para a minuta de resolução que cria a Política de Acessibilidade e Inclusão da Pessoa com Deficiência ou com Mobilidade Reduzida no Processo Eleitoral e nas Atividades da Justiça Eleitoral. As contribuições deverão s",Inclusão PCDs,Justiça Eleitoral,
380449,Comarcas do Maranhão baixam quase 50 mil processos em julho,"A um dia do prazo final para apuração das metas do “Desafio Baixa Extraordinária”, as unidades judiciais da Justiça do Primeiro Grau do Maranhão se aproximam do total de quase 50 mil processos julgados, reduzidos do estoque da demanda judicial em todo o Maranhão. Os dados do Painel de Indicadores da Corregedoria Geral da Justiça do Maranhão (CGJ-MA) indicam que, no primeiro dia do projeto, em 1.º ",Institucional / Gestão,Corregedoria / Inspeção,
400001,Oficiais de justiça poderão registrar proposta de conciliação ao cumprir mandados,"O Conselho Nacional de Justiça (CNJ) aprovou recomendação para que os tribunais brasileiros regulamentem a atuação de oficiais de justiça como incentivadores da conciliação ao cumprirem mandados judiciais. A partir da decisão, esses profissionais poderão informar as partes sobre a possibilidade de acordo e registrar propostas de autocomposição nos autos. A orientação é uma resposta à Consulta 0003",Conciliação e mediação,Institucional / Gestão,
414582,Terceira edição do Solo Seguro — Favela e Comunidades começa nesta segunda (25/5),"A Corregedoria Nacional de Justiça começa nesta segunda-feira (25/5) a terceira edição da Semana Nacional de Mobilização do programa “Solo Seguro — Favela e Comunidades”. A iniciativa segue até sexta-feira (29/5), com ações simultâneas em todo o país voltadas à regularização fundiária urbana. O corregedor nacional de Justiça, ministro Mauro Campbell Marques, estará na abertura das atividades no Ri",Regularização fundiária,Corregedoria / Inspeção,
