id,gold
405207,1
414883,9
375887,0
356372,6
405156,0
358382,0
394299,1
376056,6
414531,3
378310,5
402205,0
395497,7
384418,5
370654,3
405785,9
415639,1
366414,2
399594,2
391375,3
356320,0
371549,3
401875,10
371182,0
395486,5
408179,8
377375,3
404866,5
368820,9
372782,1
397782,3
390556,0
412809,2
389831,2
366438,5
371933,1
416620,1
402733,3
394285,5
380169,2
369663,4
370521,3
387433,0
397154,0
394579,11
389215,1
380449,1
385653,0
370065,0
370007,5
401983,0
370262,0
415584,3
414122,2
384390,9
395659,1
400001,0
414582,1
392103,1
405332,0
412058,8
369529,1
415724,10
398552,3
362892,7
378241,2
384981,3
409971,9
385858,7
369970,5
364585,3
410760,0
415908,11
410668,0
401439,10
368011,3
395503,4
412968,0
413785,0
385879,6
406629,1
402885,0
416123,11
377602,3
357616,7
404046,8
410982,3
406329,6
372975,4
395755,3
368006,1
397508,0
366916,1
415697,10
391342,2
393123,2
408824,6
407111,7
399284,7
375320,8
362990,5
367435,6
403311,9
393837,8
364049,1
401730,0
410556,3
376738,5
412619,0
356280,4
362965,10
398382,8
401821,0
365093,3
359619,2
375831,9
396706,10
392691,0
408762,0
357299,11
403913,7
415729,0
381661,3
379624,5
355855,0
411562,11
367836,9
383633,3
394370,3
394430,4
405768,0
404960,9
356947,2
409539,8
407471,2
402978,0
416625,1
375953,2
417176,3
369334,2
402540,3
361177,4
360224,1
398157,2
371009,5
410259,7
401458,11
379665,0
375387,2
384098,0
409591,8
362605,3
408304,8
380778,1
403809,1
373886,9
378732,2
400816,10
410263,1
367137,0
387903,1
415154,7
395993,0
403599,2
375495,2
374647,6
371497,6
377081,7
356125,3
360330,7
409394,9
388925,1
374399,2
360996,2
373641,6
357464,0
409767,2
375397,0
395961,3
362586,0
357212,5
401818,5
380268,5
393549,2
378727,2
370612,2
384706,3
408668,0
381824,8
406977,4
371049,7
358058,0
401860,0
401461,9
405837,0
359427,5
402531,0
372792,0
391645,0
367414,7
391390,1
406878,5
414066,2
410700,5
375717,3
377173,5
391065,0
385160,8
369128,2
415614,6
379783,8
412639,3
406325,7
376696,10
386231,5
380962,7
400765,3
416722,3
402817,4
388716,5
372553,0
357937,2
358500,6
362897,7
365527,1
416560,0
384163,1
395848,4
390088,9
361700,3
405326,2
367127,5
367914,5
408277,0
392517,7
417395,0
399200,8
401265,5
401065,7
375490,6
373411,3
380338,3
384592,5
379861,4
361837,7
409914,6
382619,3
399006,5
410428,0
393867,2
413324,2
363262,2
386352,9
405191,11
409665,9
369497,7
384242,6
417096,10
397238,0
404509,10
356797,3
398791,1
404994,6
381239,2
390366,0
401702,9
359187,7
415262,5
381291,8
371604,2
372837,2
410098,0
362962,4
405221,2
379520,5
411295,5
376461,2
358626,9
390879,5
388171,7
402750,7
410695,3
360360,11
405878,0
408300,0
394794,10
391476,3
391106,3
364779,5
365487,0
402344,10
393107,8
399720,9
385952,7
392853,5
368996,0
397837,3
414869,9
416126,7
373974,1
388037,5
