id,gold
405207,0
414883,8
375887,0
356372,5
405156,0
358382,0
394299,0
376056,5
414531,2
378310,4
402205,0
395497,6
384418,4
370654,2
405785,8
415639,0
366414,1
399594,1
391375,2
356320,0
371549,2
401875,9
371182,0
395486,4
408179,7
377375,2
404866,4
368820,8
372782,0
397782,2
390556,0
412809,1
389831,1
366438,4
371933,0
416620,0
402733,2
394285,4
380169,1
369663,3
370521,2
387433,0
397154,0
394579,4
389215,0
380449,0
385653,0
370065,0
370007,4
401983,0
370262,0
415584,2
414122,1
384390,8
395659,0
400001,0
414582,0
392103,0
405332,0
412058,7
369529,0
415724,9
398552,2
362892,6
378241,1
384981,2
409971,8
385858,6
369970,4
364585,2
410760,0
415908,4
410668,0
401439,9
368011,2
395503,3
412968,0
413785,0
385879,5
406629,0
402885,0
416123,4
377602,2
357616,6
404046,7
410982,2
406329,5
372975,3
395755,2
368006,0
397508,0
366916,0
415697,9
391342,1
393123,1
408824,5
407111,6
399284,6
375320,7
362990,4
367435,5
403311,8
393837,7
364049,0
401730,0
410556,2
376738,4
412619,0
356280,3
362965,9
398382,7
401821,0
365093,2
359619,1
375831,8
396706,9
392691,0
408762,0
357299,4
403913,6
415729,0
381661,2
379624,4
355855,0
411562,4
367836,8
383633,2
394370,2
394430,3
405768,0
404960,8
356947,1
409539,7
407471,1
402978,0
416625,0
375953,1
417176,2
369334,1
402540,2
361177,3
360224,0
398157,1
371009,4
410259,6
401458,4
379665,0
375387,1
384098,0
409591,7
362605,2
408304,7
380778,0
403809,0
373886,8
378732,1
400816,9
410263,0
367137,0
387903,0
415154,6
395993,0
403599,1
375495,1
374647,5
371497,5
377081,6
356125,2
360330,6
409394,8
388925,0
374399,1
360996,1
373641,5
357464,0
409767,1
375397,0
395961,2
362586,0
357212,4
401818,4
380268,4
393549,1
378727,1
370612,1
384706,2
408668,0
381824,7
406977,3
371049,6
358058,0
401860,0
401461,8
405837,0
359427,4
402531,0
372792,0
391645,0
367414,6
391390,0
406878,4
414066,1
410700,4
375717,2
377173,4
391065,0
385160,7
369128,1
415614,5
379783,7
412639,2
406325,6
376696,9
386231,4
380962,6
400765,2
416722,2
402817,3
388716,4
372553,0
357937,1
358500,5
362897,6
365527,0
416560,0
384163,0
395848,3
390088,8
361700,2
405326,1
367127,4
367914,4
408277,0
392517,6
417395,0
399200,7
401265,4
401065,6
375490,5
373411,2
380338,2
384592,4
379861,3
361837,6
409914,5
382619,2
399006,4
410428,0
393867,1
413324,1
363262,1
386352,8
405191,4
409665,8
369497,6
384242,5
417096,9
397238,0
404509,9
356797,2
398791,0
404994,5
381239,1
390366,0
401702,8
359187,6
415262,4
381291,7
371604,1
372837,1
410098,0
362962,3
405221,1
379520,4
411295,4
376461,1
358626,8
390879,4
388171,6
402750,6
410695,2
360360,4
405878,0
408300,0
394794,9
391476,2
391106,2
364779,4
365487,0
402344,9
393107,7
399720,8
385952,6
392853,4
368996,0
397837,2
414869,8
416126,6
373974,0
388037,4
