topico_id,classe_final,acao
0,Processos disciplinares,manter
1,Equidade racial,manter
2,Violência doméstica / mulheres,fundir
3,Conciliação e mediação,fundir
4,IA / Justiça 4.0,fundir
5,Corregedoria / Inspeção,manter
6,Justiça Itinerante / cidadania,fundir
7,Socioeducativo,manter
8,Sistema prisional,fundir
9,Participação feminina,manter
10,Direitos humanos / Corte IDH,fundir
11,Institucional / Gestão,fundir
12,Precatórios,manter
13,Transparência,manter
14,LGBTQIA+,manter
15,Sistema prisional,fundir
16,Inclusão PCDs,manter
17,Inovação,fundir
18,Regularização fundiária,manter
19,Conciliação e mediação,fundir
20,Domicílio Judicial Eletrônico,manter
21,Inovação,fundir
22,Institucional / Gestão,fundir
23,Justiça Eleitoral,manter
24,Sistema prisional,fundir
25,Linguagem simples,manter
26,Saúde / judicialização,fundir
27,ENAC / Exame de cartórios,manter
28,Sustentabilidade / Pauta verde,fundir
29,Execuções fiscais,manter
30,PopRuaJud,manter
31,Violência doméstica / mulheres,fundir
32,Sustentabilidade / Pauta verde,fundir
33,Trabalho escravo / tráfico,manter
34,Direitos humanos / Corte IDH,fundir
35,Institucional / Gestão,fundir
36,Litigância / ações coletivas,manter
37,Saúde / judicialização,fundir
38,Justiça Itinerante / cidadania,fundir
39,Justiça Itinerante / cidadania,fundir
40,IA / Justiça 4.0,fundir
41,Conflitos fundiários,manter
42,Institucional / Gestão,fundir
43,Violência doméstica / mulheres,fundir
44,Infância e juventude,fundir
45,Infância e juventude,fundir
